LeftToyBid_1.ordinal,LeftToyBid_1.onset,LeftToyBid_1.offset,LeftToyBid_1.code01,LeftToyBid_2.ordinal,LeftToyBid_2.onset,LeftToyBid_2.offset,LeftToyBid_2.code01,LeftToyBid_3.ordinal,LeftToyBid_3.onset,LeftToyBid_3.offset,LeftToyBid_3.code01,LeftToyTouch_1.ordinal,LeftToyTouch_1.onset,LeftToyTouch_1.offset,LeftToyTouch_1.code01,LeftToyTouch_2.ordinal,LeftToyTouch_2.onset,LeftToyTouch_2.offset,LeftToyTouch_2.code01,LeftToyTouch_3.ordinal,LeftToyTouch_3.onset,LeftToyTouch_3.offset,LeftToyTouch_3.code01,RightToyBid_1.ordinal,RightToyBid_1.onset,RightToyBid_1.offset,RightToyBid_1.code01,RightToyBid_2.ordinal,RightToyBid_2.onset,RightToyBid_2.offset,RightToyBid_2.code01,RightToyBid_3.ordinal,RightToyBid_3.onset,RightToyBid_3.offset,RightToyBid_3.code01,RightToyTouch_1.ordinal,RightToyTouch_1.onset,RightToyTouch_1.offset,RightToyTouch_1.code01,RightToyTouch_2.ordinal,RightToyTouch_2.onset,RightToyTouch_2.offset,RightToyTouch_2.code01,RightToyTouch_3.ordinal,RightToyTouch_3.onset,RightToyTouch_3.offset,RightToyTouch_3.code01,
0,28288,29885,"l",0,149532,151030,"l",0,222156,223277,"l",0,29376,31586,"",0,108071,112064,"",0,223142,228820,"",0,32198,33413,"l",0,137360,138317,"l",0,229670,230743,"l",0,32878,36550,"",0,113642,135320,"",0,229892,240346,"",
1,30736,31842,"l",1,174794,176608,"l",1,226848,228298,"l",1,35836,50558,"",1,116484,131070,"",1,232118,240346,"",1,42534,43522,"l",1,174794,176608,"l",1,236096,237084,"l",1,39270,39916,"",1,136272,138074,"",1,241740,246534,"",
2,42534,43522,"l",2,176800,179359,"l",2,236096,237084,"l",2,54298,77690,"",2,138788,168538,"",2,241740,266662,"",2,76704,77833,"l",,,,,2,242003,243227,"l",2,40868,44234,"",2,139026,144466,"",2,250716,266662,"",
3,61914,63182,"l",3,195160,196219,"l",3,242003,243227,"l",,,,,3,170170,203957,"",,,,,,,,,,,,,3,255918,256947,"l",3,45356,56746,"",3,159936,168538,"",,,,,
4,63750,64489,"l",4,195781,197538,"l",4,255918,256947,"l",,,,,,,,,,,,,,,,,,,,,4,257414,260197,"l",4,71298,77690,"",4,170170,176494,"",,,,,
5,69122,71465,"l",5,202504,203496,"l",5,257414,260197,"l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,184905,188428,"",,,,,
6,76704,77833,"l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
