LeftToyBid_1.ordinal,LeftToyBid_1.onset,LeftToyBid_1.offset,LeftToyBid_1.code01,LeftToyBid_2.ordinal,LeftToyBid_2.onset,LeftToyBid_2.offset,LeftToyBid_2.code01,LeftToyBid_3.ordinal,LeftToyBid_3.onset,LeftToyBid_3.offset,LeftToyBid_3.code01,LeftToyTouch_1.ordinal,LeftToyTouch_1.onset,LeftToyTouch_1.offset,LeftToyTouch_1.code01,LeftToyTouch_2.ordinal,LeftToyTouch_2.onset,LeftToyTouch_2.offset,LeftToyTouch_2.code01,LeftToyTouch_3.ordinal,LeftToyTouch_3.onset,LeftToyTouch_3.offset,LeftToyTouch_3.code01,RightToyBid_1.ordinal,RightToyBid_1.onset,RightToyBid_1.offset,RightToyBid_1.code01,RightToyBid_2.ordinal,RightToyBid_2.onset,RightToyBid_2.offset,RightToyBid_2.code01,RightToyBid_3.ordinal,RightToyBid_3.onset,RightToyBid_3.offset,RightToyBid_3.code01,RightToyTouch_1.ordinal,RightToyTouch_1.onset,RightToyTouch_1.offset,RightToyTouch_1.code01,RightToyTouch_2.ordinal,RightToyTouch_2.onset,RightToyTouch_2.offset,RightToyTouch_2.code01,RightToyTouch_3.ordinal,RightToyTouch_3.onset,RightToyTouch_3.offset,RightToyTouch_3.code01,
,,,,,,,,,,,,,,,,,,,,,,,,0,32810,36648,"l",0,115702,116834,"l",0,207332,209859,"l",0,37987,52802,"",0,109493,179956,"",0,196196,260814,"",
,,,,,,,,,,,,,,,,,,,,,,,,1,43452,44951,"l",1,118592,119625,"l",1,212432,215384,"l",1,54808,90874,"",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2,46376,49663,"l",2,121754,122586,"l",2,220796,222522,"l",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,51340,55713,"l",3,136034,138375,"l",3,227290,230291,"l",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,4,56236,58366,"l",4,139060,139869,"l",4,230384,232301,"l",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5,59976,61263,"l",5,148716,149582,"l",5,236062,238341,"l",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6,66028,67555,"l",6,150416,152898,"l",6,239020,240202,"l",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,7,73848,74713,"l",7,154122,154919,"l",7,245072,247497,"l",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,8,74426,76039,"l",8,156774,157657,"l",8,248914,251039,"l",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,9,76432,78112,"l",9,158134,159449,"l",9,251906,254666,"l",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,10,79662,81201,"l",10,161092,163637,"l",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,11,85170,87428,"l",11,165886,166544,"l",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,169762,170987,"l",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,171400,171400,"l",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,174454,175899,"l",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,177752,179702,"l",,,,,,,,,,,,,,,,,
