LeftToyBid_1.ordinal,LeftToyBid_1.onset,LeftToyBid_1.offset,LeftToyBid_1.code01,LeftToyBid_2.ordinal,LeftToyBid_2.onset,LeftToyBid_2.offset,LeftToyBid_2.code01,LeftToyBid_3.ordinal,LeftToyBid_3.onset,LeftToyBid_3.offset,LeftToyBid_3.code01,LeftToyTouch_1.ordinal,LeftToyTouch_1.onset,LeftToyTouch_1.offset,LeftToyTouch_1.code01,LeftToyTouch_2.ordinal,LeftToyTouch_2.onset,LeftToyTouch_2.offset,LeftToyTouch_2.code01,LeftToyTouch_3.ordinal,LeftToyTouch_3.onset,LeftToyTouch_3.offset,LeftToyTouch_3.code01,RightToyBid_1.ordinal,RightToyBid_1.onset,RightToyBid_1.offset,RightToyBid_1.code01,RightToyBid_2.ordinal,RightToyBid_2.onset,RightToyBid_2.offset,RightToyBid_2.code01,RightToyBid_3.ordinal,RightToyBid_3.onset,RightToyBid_3.offset,RightToyBid_3.code01,RightToyTouch_1.ordinal,RightToyTouch_1.onset,RightToyTouch_1.offset,RightToyTouch_1.code01,RightToyTouch_2.ordinal,RightToyTouch_2.onset,RightToyTouch_2.offset,RightToyTouch_2.code01,RightToyTouch_3.ordinal,RightToyTouch_3.onset,RightToyTouch_3.offset,RightToyTouch_3.code01,
0,20944,22202,"l",0,134742,136380,"l",0,269688,271287,"q",0,39316,47260,"",0,137014,154870,"",0,245379,257584,"",0,32368,34884,"l",0,116382,119767,"l",0,241706,243265,"l",0,49602,52462,"",0,118753,134062,"",0,242515,244052,"",
1,38828,42012,"l",1,140998,142157,"q",1,277576,278553,"l",1,55352,60792,"",1,207026,215934,"",1,259488,274414,"",1,48008,50135,"l",1,121414,123062,"q",1,269688,271287,"q",1,55352,55862,"",1,151403,202640,"",1,258366,274414,"",
2,54196,55043,"l",2,143956,145317,"l",2,286348,286348,"l",,,,,,,,,,,,,2,54196,55043,"l",2,163710,165297,"l",2,277576,278553,"l",2,62385,64668,"",2,205530,215934,"",2,280432,285753,"",
3,58922,60261,"q",3,210120,211497,"l",,,,,,,,,,,,,,,,,3,65280,66049,"l",3,184416,185816,"l",3,286348,286348,"l",3,67116,69079,"",,,,,,,,,
4,60316,61985,"l",,,,,,,,,,,,,,,,,,,,,4,69224,70307,"l",4,186286,187327,"l",,,,,,,,,,,,,,,,,
5,69224,70307,"l",,,,,,,,,,,,,,,,,,,,,5,73304,73678,"q",5,187816,188734,"l",,,,,,,,,,,,,,,,,
6,73304,73678,"q",,,,,,,,,,,,,,,,,,,,,6,73712,74703,"l",6,188768,189434,"l",,,,,,,,,,,,,,,,,
7,73712,74703,"l",,,,,,,,,,,,,,,,,,,,,7,78200,81034,"l",7,198186,199766,"l",,,,,,,,,,,,,,,,,
8,78200,81034,"l",,,,,,,,,,,,,,,,,,,,,,,,,8,203490,204561,"l",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,210120,211497,"l",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,211786,213508,"l",,,,,,,,,,,,,,,,,
