LeftToyBid_1.ordinal,LeftToyBid_1.onset,LeftToyBid_1.offset,LeftToyBid_1.code01,LeftToyBid_2.ordinal,LeftToyBid_2.onset,LeftToyBid_2.offset,LeftToyBid_2.code01,LeftToyBid_3.ordinal,LeftToyBid_3.onset,LeftToyBid_3.offset,LeftToyBid_3.code01,LeftToyTouch_1.ordinal,LeftToyTouch_1.onset,LeftToyTouch_1.offset,LeftToyTouch_1.code01,LeftToyTouch_2.ordinal,LeftToyTouch_2.onset,LeftToyTouch_2.offset,LeftToyTouch_2.code01,LeftToyTouch_3.ordinal,LeftToyTouch_3.onset,LeftToyTouch_3.offset,LeftToyTouch_3.code01,RightToyBid_1.ordinal,RightToyBid_1.onset,RightToyBid_1.offset,RightToyBid_1.code01,RightToyBid_2.ordinal,RightToyBid_2.onset,RightToyBid_2.offset,RightToyBid_2.code01,RightToyBid_3.ordinal,RightToyBid_3.onset,RightToyBid_3.offset,RightToyBid_3.code01,RightToyTouch_1.ordinal,RightToyTouch_1.onset,RightToyTouch_1.offset,RightToyTouch_1.code01,RightToyTouch_2.ordinal,RightToyTouch_2.onset,RightToyTouch_2.offset,RightToyTouch_2.code01,RightToyTouch_3.ordinal,RightToyTouch_3.onset,RightToyTouch_3.offset,RightToyTouch_3.code01,
,,,,0,148410,150053,"l",0,222360,223438,"l",0,36201,38624,"",0,135840,175168,"",0,198615,207638,"",0,27846,29138,"l",,,,,0,208522,210122,"l",0,29750,34612,"",0,131681,134946,"",0,208684,218008,"",
,,,,1,151708,153629,"l",1,224570,225996,"l",1,50558,51578,"",1,176760,178874,"",1,217396,229534,"",1,29138,29667,"l",,,,,,,,,1,52054,52632,"",,,,,1,226412,229534,"",
,,,,2,154598,156741,"l",,,,,2,105332,111622,"",2,181655,186071,"",,,,,2,29682,30892,"q",,,,,,,,,2,54570,104448,"",,,,,,,,,
,,,,3,163574,164848,"l",,,,,,,,,,,,,,,,,3,31586,32380,"l",,,,,,,,,,,,,,,,,,,,,
,,,,4,168776,170441,"l",,,,,,,,,,,,,,,,,4,33388,34393,"l",,,,,,,,,,,,,,,,,,,,,
,,,,5,172312,173943,"l",,,,,,,,,,,,,,,,,5,58140,59427,"l",,,,,,,,,,,,,,,,,,,,,
,,,,6,179044,181615,"l",,,,,,,,,,,,,,,,,6,70074,73065,"l",,,,,,,,,,,,,,,,,,,,,
,,,,7,183736,186410,"l",,,,,,,,,,,,,,,,,7,75616,76822,"l",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,8,82280,84324,"l",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,9,84014,85783,"l",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,10,85918,90594,"l",,,,,,,,,,,,,,,,,,,,,
