LeftToyBid_1.ordinal,LeftToyBid_1.onset,LeftToyBid_1.offset,LeftToyBid_1.code01,LeftToyBid_2.ordinal,LeftToyBid_2.onset,LeftToyBid_2.offset,LeftToyBid_2.code01,LeftToyBid_3.ordinal,LeftToyBid_3.onset,LeftToyBid_3.offset,LeftToyBid_3.code01,LeftToyTouch_1.ordinal,LeftToyTouch_1.onset,LeftToyTouch_1.offset,LeftToyTouch_1.code01,LeftToyTouch_2.ordinal,LeftToyTouch_2.onset,LeftToyTouch_2.offset,LeftToyTouch_2.code01,LeftToyTouch_3.ordinal,LeftToyTouch_3.onset,LeftToyTouch_3.offset,LeftToyTouch_3.code01,RightToyBid_1.ordinal,RightToyBid_1.onset,RightToyBid_1.offset,RightToyBid_1.code01,RightToyBid_2.ordinal,RightToyBid_2.onset,RightToyBid_2.offset,RightToyBid_2.code01,RightToyBid_3.ordinal,RightToyBid_3.onset,RightToyBid_3.offset,RightToyBid_3.code01,RightToyTouch_1.ordinal,RightToyTouch_1.onset,RightToyTouch_1.offset,RightToyTouch_1.code01,RightToyTouch_2.ordinal,RightToyTouch_2.onset,RightToyTouch_2.offset,RightToyTouch_2.code01,RightToyTouch_3.ordinal,RightToyTouch_3.onset,RightToyTouch_3.offset,RightToyTouch_3.code01,
0,82008,84066,"q",0,175100,177670,"q",0,303348,303965,"l",0,26328,34306,"",0,173688,205938,"",0,298784,308346,"",0,19108,21118,"q",0,148274,149562,"q",0,321368,323015,"l",0,16104,25364,"",0,146540,172448,"",0,309515,333472,"",
1,84524,86379,"l",1,182614,184601,"q",1,305830,307627,"l",1,81532,121618,"",1,214098,218756,"",1,334497,336328,"",1,37128,40511,"l",1,156978,159507,"q",1,328270,329152,"l",1,33898,82042,"",1,206521,219572,"",,,,,
2,91320,94284,"l",2,184790,187076,"q",,,,,,,,,2,258774,280500,"",,,,,2,41684,42656,"l",2,159528,161343,"l",2,330106,332113,"l",,,,,2,221034,282387,"",,,,,
3,95336,97269,"l",3,187136,187421,"l",,,,,,,,,,,,,,,,,3,43860,45341,"l",3,164050,166053,"l",,,,,,,,,,,,,,,,,
4,101830,105200,"l",4,188122,190482,"l",,,,,,,,,,,,,,,,,4,49402,51260,"q",4,166702,167822,"l",,,,,,,,,,,,,,,,,
5,112710,114045,"l",5,201620,202707,"l",,,,,,,,,,,,,,,,,5,56542,57432,"l",5,207672,209800,"l",,,,,,,,,,,,,,,,,
,,,,6,204612,205711,"l",,,,,,,,,,,,,,,,,6,58480,60784,"l",6,220615,220615,"l",,,,,,,,,,,,,,,,,
,,,,7,220615,220615,"l",,,,,,,,,,,,,,,,,7,62084,63162,"l",7,223142,226658,"l",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,8,63036,65088,"q",8,228412,231534,"l",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,9,64408,66729,"l",9,236538,238615,"l",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,10,69836,70366,"q",10,240652,244314,"l",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,11,70380,71205,"l",11,246840,247716,"l",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12,72624,74304,"l",12,249900,251298,"l",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13,79118,81898,"q",13,253912,255449,"l",,,,,,,,,,,,,,,,,
