LeftToyBid_1.ordinal,LeftToyBid_1.onset,LeftToyBid_1.offset,LeftToyBid_1.code01,LeftToyBid_2.ordinal,LeftToyBid_2.onset,LeftToyBid_2.offset,LeftToyBid_2.code01,LeftToyBid_3.ordinal,LeftToyBid_3.onset,LeftToyBid_3.offset,LeftToyBid_3.code01,LeftToyTouch_1.ordinal,LeftToyTouch_1.onset,LeftToyTouch_1.offset,LeftToyTouch_1.code01,LeftToyTouch_2.ordinal,LeftToyTouch_2.onset,LeftToyTouch_2.offset,LeftToyTouch_2.code01,LeftToyTouch_3.ordinal,LeftToyTouch_3.onset,LeftToyTouch_3.offset,LeftToyTouch_3.code01,RightToyBid_1.ordinal,RightToyBid_1.onset,RightToyBid_1.offset,RightToyBid_1.code01,RightToyBid_2.ordinal,RightToyBid_2.onset,RightToyBid_2.offset,RightToyBid_2.code01,RightToyBid_3.ordinal,RightToyBid_3.onset,RightToyBid_3.offset,RightToyBid_3.code01,RightToyTouch_1.ordinal,RightToyTouch_1.onset,RightToyTouch_1.offset,RightToyTouch_1.code01,RightToyTouch_2.ordinal,RightToyTouch_2.onset,RightToyTouch_2.offset,RightToyTouch_2.code01,RightToyTouch_3.ordinal,RightToyTouch_3.onset,RightToyTouch_3.offset,RightToyTouch_3.code01,
0,49009,50725,"q",0,121627,122706,"q",0,208508,210241,"q",0,44083,93636,"",0,118393,138210,"",0,208556,229262,"",0,32300,34064,"q",0,143004,144276,"l",0,197111,199675,"q",0,29251,42330,"",0,140142,177164,"",0,194489,207672,"",
1,50728,53673,"l",1,131954,133128,"l",1,214164,214200,"l",,,,,1,167926,177164,"",1,232458,234152,"",1,36142,38685,"l",1,148240,149281,"q",1,199846,201005,"l",1,64328,93636,"",,,,,1,228344,234152,"",
2,58479,60063,"q",2,133335,135200,"q",2,214855,215766,"q",,,,,,,,,,,,,2,65592,66255,"l",2,149281,150563,"l",2,201552,201892,"l",,,,,,,,,,,,,
3,61103,61601,"l",3,135200,137026,"l",3,221896,221918,"q",,,,,,,,,,,,,3,66198,67327,"l",3,157557,158496,"l",3,202470,204068,"l",,,,,,,,,,,,,
4,63410,64293,"l",4,170884,172411,"l",4,221952,223006,"l",,,,,,,,,,,,,4,67320,68368,"l",4,160854,161465,"l",4,204646,205598,"l",,,,,,,,,,,,,
5,65592,66255,"l",5,174726,176966,"l",5,228174,233689,"l",,,,,,,,,,,,,5,85102,86198,"l",5,161806,163880,"l",5,228174,233689,"l",,,,,,,,,,,,,
6,66198,67327,"l",,,,,,,,,,,,,,,,,,,,,6,88638,90066,"l",6,170884,172411,"l",,,,,,,,,,,,,,,,,
7,67320,68368,"l",,,,,,,,,,,,,,,,,,,,,,,,,7,174726,176966,"l",,,,,,,,,,,,,,,,,
