LeftToyBid_1.ordinal,LeftToyBid_1.onset,LeftToyBid_1.offset,LeftToyBid_1.code01,LeftToyBid_2.ordinal,LeftToyBid_2.onset,LeftToyBid_2.offset,LeftToyBid_2.code01,LeftToyBid_3.ordinal,LeftToyBid_3.onset,LeftToyBid_3.offset,LeftToyBid_3.code01,LeftToyTouch_1.ordinal,LeftToyTouch_1.onset,LeftToyTouch_1.offset,LeftToyTouch_1.code01,LeftToyTouch_2.ordinal,LeftToyTouch_2.onset,LeftToyTouch_2.offset,LeftToyTouch_2.code01,LeftToyTouch_3.ordinal,LeftToyTouch_3.onset,LeftToyTouch_3.offset,LeftToyTouch_3.code01,RightToyBid_1.ordinal,RightToyBid_1.onset,RightToyBid_1.offset,RightToyBid_1.code01,RightToyBid_2.ordinal,RightToyBid_2.onset,RightToyBid_2.offset,RightToyBid_2.code01,RightToyBid_3.ordinal,RightToyBid_3.onset,RightToyBid_3.offset,RightToyBid_3.code01,RightToyTouch_1.ordinal,RightToyTouch_1.onset,RightToyTouch_1.offset,RightToyTouch_1.code01,RightToyTouch_2.ordinal,RightToyTouch_2.onset,RightToyTouch_2.offset,RightToyTouch_2.code01,RightToyTouch_3.ordinal,RightToyTouch_3.onset,RightToyTouch_3.offset,RightToyTouch_3.code01,
0,40324,40324,"l",0,102918,104980,"l",0,213146,214234,"l",0,35845,44404,"",0,99344,104210,"",0,210229,239326,"",0,30090,31932,"l",0,134232,135927,"q",0,252518,253625,"l",0,24443,31246,"",0,121741,175807,"",0,242590,265540,"",
1,40324,40750,"q",1,108086,108875,"q",1,217498,219010,"l",1,45662,49062,"",1,105604,118660,"",1,265506,265744,"",1,62900,64220,"l",1,135032,136897,"l",1,255680,256695,"l",1,45968,74290,"",,,,,1,269100,272510,"",
2,43282,44248,"l",2,108732,111073,"l",2,222530,223710,"l",,,,,2,128996,133790,"",2,267614,268668,"",2,65382,67132,"l",2,139128,141983,"l",2,259216,261516,"l",,,,,,,,,,,,,
,,,,3,111146,115685,"l",3,225964,230311,"l",,,,,3,176460,181424,"",,,,,3,69938,72172,"l",3,155924,156696,"l",3,261630,264186,"l",,,,,,,,,,,,,
,,,,4,117164,118076,"l",4,230928,231543,"l",,,,,,,,,,,,,4,74188,75547,"l",4,155924,156883,"q",,,,,,,,,,,,,,,,,
,,,,5,179282,181854,"l",5,234838,236629,"l",,,,,,,,,,,,,,,,,5,162248,164632,"l",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,170145,171414,"q",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,172129,173283,"l",,,,,,,,,,,,,,,,,
