LeftToyBid_1.ordinal,LeftToyBid_1.onset,LeftToyBid_1.offset,LeftToyBid_1.code01,LeftToyBid_2.ordinal,LeftToyBid_2.onset,LeftToyBid_2.offset,LeftToyBid_2.code01,LeftToyBid_3.ordinal,LeftToyBid_3.onset,LeftToyBid_3.offset,LeftToyBid_3.code01,LeftToyTouch_1.ordinal,LeftToyTouch_1.onset,LeftToyTouch_1.offset,LeftToyTouch_1.code01,LeftToyTouch_2.ordinal,LeftToyTouch_2.onset,LeftToyTouch_2.offset,LeftToyTouch_2.code01,LeftToyTouch_3.ordinal,LeftToyTouch_3.onset,LeftToyTouch_3.offset,LeftToyTouch_3.code01,RightToyBid_1.ordinal,RightToyBid_1.onset,RightToyBid_1.offset,RightToyBid_1.code01,RightToyBid_2.ordinal,RightToyBid_2.onset,RightToyBid_2.offset,RightToyBid_2.code01,RightToyBid_3.ordinal,RightToyBid_3.onset,RightToyBid_3.offset,RightToyBid_3.code01,RightToyTouch_1.ordinal,RightToyTouch_1.onset,RightToyTouch_1.offset,RightToyTouch_1.code01,RightToyTouch_2.ordinal,RightToyTouch_2.onset,RightToyTouch_2.offset,RightToyTouch_2.code01,RightToyTouch_3.ordinal,RightToyTouch_3.onset,RightToyTouch_3.offset,RightToyTouch_3.code01,
0,12301,13459,"q",0,110437,111687,"q",0,220116,222819,"q",0,37468,52496,"",0,107894,121482,"",0,218863,234974,"",0,29739,32954,"q",0,128248,130983,"q",0,261254,263562,"l",0,24072,37128,"",0,125188,149804,"",0,236015,251770,"",
1,16354,17920,"l",1,120224,121048,"l",1,231574,233300,"l",1,54060,58446,"",1,145418,196454,"",1,251940,266560,"",1,31308,34509,"l",1,130983,131911,"l",1,306719,307631,"q",1,40324,52496,"",1,170102,172414,"",1,260338,263568,"",
2,40728,42620,"q",2,183634,186937,"l",2,261254,263562,"l",2,70890,71706,"",,,,,2,270912,289408,"",2,40728,42620,"q",,,,,,,,,2,54060,71536,"",2,185504,187544,"",2,265812,270776,"",
3,53856,54834,"l",,,,,3,276658,279514,"l",3,72522,78744,"",,,,,3,309604,338028,"",3,53856,54834,"l",,,,,,,,,3,72488,78098,"",3,187986,188561,"",3,273700,275706,"",
,,,,,,,,,,,,4,80513,85374,"",,,,,4,345746,350302,"",,,,,,,,,,,,,4,79016,89549,"",4,191012,196454,"",4,279718,280432,"",
,,,,,,,,,,,,,,,,,,,,5,350676,364446,"",,,,,,,,,,,,,,,,,,,,,5,289408,309672,"",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,310148,311814,"",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,338266,350744,"",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,361148,364446,"",
