LeftToyBid_1.ordinal,LeftToyBid_1.onset,LeftToyBid_1.offset,LeftToyBid_1.code01,LeftToyBid_2.ordinal,LeftToyBid_2.onset,LeftToyBid_2.offset,LeftToyBid_2.code01,LeftToyBid_3.ordinal,LeftToyBid_3.onset,LeftToyBid_3.offset,LeftToyBid_3.code01,LeftToyTouch_1.ordinal,LeftToyTouch_1.onset,LeftToyTouch_1.offset,LeftToyTouch_1.code01,LeftToyTouch_2.ordinal,LeftToyTouch_2.onset,LeftToyTouch_2.offset,LeftToyTouch_2.code01,LeftToyTouch_3.ordinal,LeftToyTouch_3.onset,LeftToyTouch_3.offset,LeftToyTouch_3.code01,RightToyBid_1.ordinal,RightToyBid_1.onset,RightToyBid_1.offset,RightToyBid_1.code01,RightToyBid_2.ordinal,RightToyBid_2.onset,RightToyBid_2.offset,RightToyBid_2.code01,RightToyBid_3.ordinal,RightToyBid_3.onset,RightToyBid_3.offset,RightToyBid_3.code01,RightToyTouch_1.ordinal,RightToyTouch_1.onset,RightToyTouch_1.offset,RightToyTouch_1.code01,RightToyTouch_2.ordinal,RightToyTouch_2.onset,RightToyTouch_2.offset,RightToyTouch_2.code01,RightToyTouch_3.ordinal,RightToyTouch_3.onset,RightToyTouch_3.offset,RightToyTouch_3.code01,
0,40358,42398,"l",0,152014,154834,"l",0,285430,287880,"l",0,42071,46614,"",0,153816,178364,"",0,286213,299092,"",0,76466,77860,"l",0,148614,150747,"l",0,238306,240211,"l",0,99729,111078,"",0,180790,211147,"",0,238853,284886,"",
1,47192,48738,"l",1,165036,166410,"l",1,291686,292933,"l",1,56338,67694,"",1,207298,211147,"",,,,,1,96152,97526,"l",1,180200,182607,"l",1,244664,245864,"l",,,,,,,,,1,296650,299092,"",
2,50082,51884,"l",2,175916,177790,"l",,,,,2,69394,74086,"",,,,,,,,,2,101184,102518,"l",2,196724,198979,"l",2,258026,259115,"l",,,,,,,,,,,,,
3,61608,63429,"l",3,207162,209100,"l",,,,,3,78574,91970,"",,,,,,,,,,,,,3,204918,206639,"l",3,259386,260775,"l",,,,,,,,,,,,,
4,71842,73805,"l",,,,,,,,,4,111792,127193,"",,,,,,,,,,,,,4,207162,209100,"l",4,263568,265905,"l",,,,,,,,,,,,,
5,85816,86941,"l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,90746,92564,"l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,115090,117034,"l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,124712,127092,"l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
