LeftToyBid_1.ordinal,LeftToyBid_1.onset,LeftToyBid_1.offset,LeftToyBid_1.code01,LeftToyBid_2.ordinal,LeftToyBid_2.onset,LeftToyBid_2.offset,LeftToyBid_2.code01,LeftToyBid_3.ordinal,LeftToyBid_3.onset,LeftToyBid_3.offset,LeftToyBid_3.code01,LeftToyTouch_1.ordinal,LeftToyTouch_1.onset,LeftToyTouch_1.offset,LeftToyTouch_1.code01,LeftToyTouch_2.ordinal,LeftToyTouch_2.onset,LeftToyTouch_2.offset,LeftToyTouch_2.code01,LeftToyTouch_3.ordinal,LeftToyTouch_3.onset,LeftToyTouch_3.offset,LeftToyTouch_3.code01,RightToyBid_1.ordinal,RightToyBid_1.onset,RightToyBid_1.offset,RightToyBid_1.code01,RightToyBid_2.ordinal,RightToyBid_2.onset,RightToyBid_2.offset,RightToyBid_2.code01,RightToyBid_3.ordinal,RightToyBid_3.onset,RightToyBid_3.offset,RightToyBid_3.code01,RightToyTouch_1.ordinal,RightToyTouch_1.onset,RightToyTouch_1.offset,RightToyTouch_1.code01,RightToyTouch_2.ordinal,RightToyTouch_2.onset,RightToyTouch_2.offset,RightToyTouch_2.code01,RightToyTouch_3.ordinal,RightToyTouch_3.onset,RightToyTouch_3.offset,RightToyTouch_3.code01,
0,25743,29076,"l",0,151096,152682,"l",0,269960,271696,"l",0,58285,67388,"",0,166396,171836,"",0,264013,325262,"",0,16674,18494,"l",0,154768,156808,"l",0,250852,252987,"l",0,70052,74222,"",0,173430,231132,"",0,255506,262242,"",
1,57732,59411,"l",1,183090,184670,"l",1,286110,287974,"l",1,78030,117504,"",1,178908,195262,"",,,,,1,69394,71068,"l",1,183090,184670,"l",1,269960,271696,"l",1,78030,117504,"",,,,,1,267478,325262,"",
2,74834,78440,"l",2,202368,203218,"l",2,301750,305261,"l",,,,,2,199104,231132,"",,,,,2,74834,78440,"l",2,202368,203218,"l",2,286110,287974,"l",2,119670,123862,"",,,,,,,,,
3,82790,83776,"l",3,203354,204050,"l",3,308380,310417,"l",,,,,,,,,,,,,3,82790,83776,"l",3,203354,204050,"l",3,301750,305261,"l",,,,,,,,,,,,,
4,101218,102793,"l",4,207774,209257,"l",4,310556,312521,"l",,,,,,,,,,,,,4,101218,102793,"l",4,207774,209257,"l",4,308380,310417,"l",,,,,,,,,,,,,
5,106862,108126,"l",5,222224,223565,"l",,,,,,,,,,,,,,,,,5,106862,108126,"l",5,222224,223565,"l",5,310556,312521,"l",,,,,,,,,,,,,
6,109514,110317,"l",6,225284,226803,"l",,,,,,,,,,,,,,,,,6,109514,110317,"l",6,225284,226803,"l",,,,,,,,,,,,,,,,,
7,118218,120119,"l",,,,,,,,,,,,,,,,,,,,,7,118218,120119,"l",,,,,,,,,,,,,,,,,,,,,
