LeftToyBid_1.ordinal,LeftToyBid_1.onset,LeftToyBid_1.offset,LeftToyBid_1.code01,LeftToyBid_2.ordinal,LeftToyBid_2.onset,LeftToyBid_2.offset,LeftToyBid_2.code01,LeftToyBid_3.ordinal,LeftToyBid_3.onset,LeftToyBid_3.offset,LeftToyBid_3.code01,LeftToyTouch_1.ordinal,LeftToyTouch_1.onset,LeftToyTouch_1.offset,LeftToyTouch_1.code01,LeftToyTouch_2.ordinal,LeftToyTouch_2.onset,LeftToyTouch_2.offset,LeftToyTouch_2.code01,LeftToyTouch_3.ordinal,LeftToyTouch_3.onset,LeftToyTouch_3.offset,LeftToyTouch_3.code01,RightToyBid_1.ordinal,RightToyBid_1.onset,RightToyBid_1.offset,RightToyBid_1.code01,RightToyBid_2.ordinal,RightToyBid_2.onset,RightToyBid_2.offset,RightToyBid_2.code01,RightToyBid_3.ordinal,RightToyBid_3.onset,RightToyBid_3.offset,RightToyBid_3.code01,RightToyTouch_1.ordinal,RightToyTouch_1.onset,RightToyTouch_1.offset,RightToyTouch_1.code01,RightToyTouch_2.ordinal,RightToyTouch_2.onset,RightToyTouch_2.offset,RightToyTouch_2.code01,RightToyTouch_3.ordinal,RightToyTouch_3.onset,RightToyTouch_3.offset,RightToyTouch_3.code01,
0,57120,58646,"l",0,127908,128687,"l",0,233954,236198,"l",0,51318,70877,"",0,123964,139230,"",0,201057,208862,"",0,33388,34634,"l",0,112336,112404,"q",0,215220,215866,"l",0,24726,49062,"",0,108739,122332,"",0,194879,198900,"",
1,68068,69155,"l",1,129064,130710,"l",1,273734,274392,"l",,,,,1,141610,154394,"",1,218008,236674,"",1,38692,39651,"l",1,112438,113601,"l",1,249220,252034,"l",,,,,1,136952,162505,"",1,208760,219708,"",
2,70618,71886,"l",2,130968,134681,"l",2,275128,276790,"l",,,,,2,156298,163676,"",2,251090,280865,"",2,43146,44253,"l",2,114648,117233,"l",2,273734,274392,"l",,,,,,,,,2,236674,255612,"",
,,,,3,145486,146850,"l",3,278120,280276,"l",,,,,,,,,,,,,3,45356,46443,"l",3,117742,117776,"q",3,275128,276790,"l",,,,,,,,,3,258400,282642,"",
,,,,4,150008,150008,"l",,,,,,,,,,,,,,,,,,,,,4,117810,118898,"l",4,278120,280276,"l",,,,,,,,,,,,,
,,,,5,151776,151810,"l",,,,,,,,,,,,,,,,,,,,,5,120972,122129,"l",,,,,,,,,,,,,,,,,
,,,,6,158542,159187,"l",,,,,,,,,,,,,,,,,,,,,6,121006,121040,"q",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,145486,146850,"l",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,150008,150008,"l",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,151776,151810,"l",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,158542,159187,"l",,,,,,,,,,,,,,,,,
