LeftToyBid_1.ordinal,LeftToyBid_1.onset,LeftToyBid_1.offset,LeftToyBid_1.code01,LeftToyBid_2.ordinal,LeftToyBid_2.onset,LeftToyBid_2.offset,LeftToyBid_2.code01,LeftToyBid_3.ordinal,LeftToyBid_3.onset,LeftToyBid_3.offset,LeftToyBid_3.code01,LeftToyTouch_1.ordinal,LeftToyTouch_1.onset,LeftToyTouch_1.offset,LeftToyTouch_1.code01,LeftToyTouch_2.ordinal,LeftToyTouch_2.onset,LeftToyTouch_2.offset,LeftToyTouch_2.code01,LeftToyTouch_3.ordinal,LeftToyTouch_3.onset,LeftToyTouch_3.offset,LeftToyTouch_3.code01,RightToyBid_1.ordinal,RightToyBid_1.onset,RightToyBid_1.offset,RightToyBid_1.code01,RightToyBid_2.ordinal,RightToyBid_2.onset,RightToyBid_2.offset,RightToyBid_2.code01,RightToyBid_3.ordinal,RightToyBid_3.onset,RightToyBid_3.offset,RightToyBid_3.code01,RightToyTouch_1.ordinal,RightToyTouch_1.onset,RightToyTouch_1.offset,RightToyTouch_1.code01,RightToyTouch_2.ordinal,RightToyTouch_2.onset,RightToyTouch_2.offset,RightToyTouch_2.code01,RightToyTouch_3.ordinal,RightToyTouch_3.onset,RightToyTouch_3.offset,RightToyTouch_3.code01,
0,35020,36003,"l",,,,,0,256462,258696,"q",0,29342,72231,"",0,126096,131206,"",0,249107,257516,"",0,26418,27057,"l",0,138856,139975,"l",0,232934,234843,"l",0,23235,27268,"",0,133009,198798,"",0,234056,247316,"",
1,39746,40186,"l",,,,,,,,,,,,,1,195160,208911,"",1,268347,271354,"",1,71944,75278,"q",1,145520,150574,"l",1,237252,238600,"q",1,71978,101677,"",1,205122,208911,"",1,256904,280160,"",
2,40188,41113,"q",,,,,,,,,,,,,,,,,2,280549,283191,"",2,76908,78020,"q",2,172040,173115,"q",2,240448,241848,"q",,,,,,,,,,,,,
3,42160,43657,"q",,,,,,,,,,,,,,,,,,,,,3,80308,81019,"q",3,176498,177196,"l",3,241057,241611,"l",,,,,,,,,,,,,
4,46138,48158,"l",,,,,,,,,,,,,,,,,,,,,4,82620,83123,"l",,,,,4,256462,258696,"q",,,,,,,,,,,,,
5,48212,50356,"l",,,,,,,,,,,,,,,,,,,,,5,82892,84119,"q",,,,,5,258706,258706,"l",,,,,,,,,,,,,
6,55632,59729,"l",,,,,,,,,,,,,,,,,,,,,6,85034,86410,"q",,,,,,,,,,,,,,,,,,,,,
7,64183,66279,"l",,,,,,,,,,,,,,,,,,,,,7,87380,89097,"q",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,8,87618,88319,"l",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,9,90780,91537,"q",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,10,91018,91786,"l",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,11,93534,95340,"l",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12,97172,98458,"q",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13,98513,100452,"q",,,,,,,,,,,,,,,,,,,,,
