LeftToyBid_1.ordinal,LeftToyBid_1.onset,LeftToyBid_1.offset,LeftToyBid_1.code01,LeftToyBid_2.ordinal,LeftToyBid_2.onset,LeftToyBid_2.offset,LeftToyBid_2.code01,LeftToyBid_3.ordinal,LeftToyBid_3.onset,LeftToyBid_3.offset,LeftToyBid_3.code01,LeftToyTouch_1.ordinal,LeftToyTouch_1.onset,LeftToyTouch_1.offset,LeftToyTouch_1.code01,LeftToyTouch_2.ordinal,LeftToyTouch_2.onset,LeftToyTouch_2.offset,LeftToyTouch_2.code01,LeftToyTouch_3.ordinal,LeftToyTouch_3.onset,LeftToyTouch_3.offset,LeftToyTouch_3.code01,RightToyBid_1.ordinal,RightToyBid_1.onset,RightToyBid_1.offset,RightToyBid_1.code01,RightToyBid_2.ordinal,RightToyBid_2.onset,RightToyBid_2.offset,RightToyBid_2.code01,RightToyBid_3.ordinal,RightToyBid_3.onset,RightToyBid_3.offset,RightToyBid_3.code01,RightToyTouch_1.ordinal,RightToyTouch_1.onset,RightToyTouch_1.offset,RightToyTouch_1.code01,RightToyTouch_2.ordinal,RightToyTouch_2.onset,RightToyTouch_2.offset,RightToyTouch_2.code01,RightToyTouch_3.ordinal,RightToyTouch_3.onset,RightToyTouch_3.offset,RightToyTouch_3.code01,
0,18054,24380,"l",0,134300,137127,"l",0,216818,218583,"l",0,50024,82688,"",0,154342,174658,"",0,234970,270068,"",0,83674,89112,"l",0,131420,132538,"l",0,220048,221683,"l",0,84475,104652,"",0,138324,151980,"",0,221338,231200,"",
1,41616,43053,"q",1,156604,157710,"q",1,234328,235856,"l",,,,,1,176596,188768,"",,,,,1,89352,90764,"l",1,149906,151529,"l",1,247792,248977,"l",,,,,1,172414,194242,"",1,242624,270068,"",
2,44036,45831,"l",2,157726,159926,"l",2,237558,240520,"q",,,,,2,193936,200600,"",,,,,2,92854,94136,"q",2,188224,188528,"l",2,250206,251989,"l",,,,,2,197676,201654,"",,,,,
3,48008,54109,"l",3,165342,166835,"l",3,247792,248977,"l",,,,,,,,,,,,,3,101388,103065,"l",3,188802,190377,"q",3,254422,256554,"l",,,,,,,,,,,,,
4,60690,62224,"q",4,171428,172358,"l",4,250206,251989,"l",,,,,,,,,,,,,,,,,4,196758,198799,"l",,,,,,,,,,,,,,,,,
5,63484,64741,"l",5,188224,188528,"l",5,254422,256554,"l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,66067,67497,"l",6,196758,198799,"l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,68094,68976,"q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,70142,71703,"l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,72828,73369,"q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,73372,74813,"l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
