LeftToyBid_1.ordinal,LeftToyBid_1.onset,LeftToyBid_1.offset,LeftToyBid_1.code01,LeftToyBid_2.ordinal,LeftToyBid_2.onset,LeftToyBid_2.offset,LeftToyBid_2.code01,LeftToyBid_3.ordinal,LeftToyBid_3.onset,LeftToyBid_3.offset,LeftToyBid_3.code01,LeftToyTouch_1.ordinal,LeftToyTouch_1.onset,LeftToyTouch_1.offset,LeftToyTouch_1.code01,LeftToyTouch_2.ordinal,LeftToyTouch_2.onset,LeftToyTouch_2.offset,LeftToyTouch_2.code01,LeftToyTouch_3.ordinal,LeftToyTouch_3.onset,LeftToyTouch_3.offset,LeftToyTouch_3.code01,RightToyBid_1.ordinal,RightToyBid_1.onset,RightToyBid_1.offset,RightToyBid_1.code01,RightToyBid_2.ordinal,RightToyBid_2.onset,RightToyBid_2.offset,RightToyBid_2.code01,RightToyBid_3.ordinal,RightToyBid_3.onset,RightToyBid_3.offset,RightToyBid_3.code01,RightToyTouch_1.ordinal,RightToyTouch_1.onset,RightToyTouch_1.offset,RightToyTouch_1.code01,RightToyTouch_2.ordinal,RightToyTouch_2.onset,RightToyTouch_2.offset,RightToyTouch_2.code01,RightToyTouch_3.ordinal,RightToyTouch_3.onset,RightToyTouch_3.offset,RightToyTouch_3.code01,
0,28322,32123,"l",0,158814,159562,"l",0,211480,212754,"l",0,28807,47430,"",0,149700,153204,"",0,212018,216852,"",0,49028,50787,"l",0,136272,140515,"l",0,204238,205963,"l",0,52700,100863,"",0,137293,145690,"",0,204915,208658,"",
1,32402,37299,"l",1,159664,162039,"l",1,224026,226233,"l",1,74280,100863,"",1,155924,156570,"",1,222462,228888,"",1,52054,54173,"l",1,142970,143954,"l",1,224026,226233,"l",,,,,1,153748,159154,"",1,218348,232240,"",
2,38488,40506,"l",2,164594,165979,"q",2,232526,234130,"l",,,,,2,157979,159154,"",,,,,2,55726,57997,"l",2,158814,159562,"l",2,232526,234130,"l",,,,,2,160446,169116,"",,,,,
3,41344,43199,"l",3,165334,167690,"l",,,,,,,,,3,168481,169116,"",,,,,3,64770,68578,"l",3,159664,162039,"l",,,,,,,,,,,,,,,,,
4,46410,47783,"l",,,,,,,,,,,,,,,,,,,,,4,68986,71005,"l",4,164594,165979,"q",,,,,,,,,,,,,,,,,
5,74936,78345,"l",,,,,,,,,,,,,,,,,,,,,5,74936,78345,"l",5,165334,167690,"l",,,,,,,,,,,,,,,,,
6,81838,84156,"l",,,,,,,,,,,,,,,,,,,,,6,81838,84156,"l",,,,,,,,,,,,,,,,,,,,,
7,96764,100567,"l",,,,,,,,,,,,,,,,,,,,,7,96764,100567,"l",,,,,,,,,,,,,,,,,,,,,
