Subject,SID,Exclude,Age,ConditionOrder,Condition,Trial,FirstBag,FirstUtterance,SecondUtterance,Labeled Name,FirstBagLook,FirstChoice,SecondBagLook,FirstToyRemove,SecondToyRemove,LeftToy,RightToy,LeftToyTotalTime,RightToyTotalTime
21(bb265),032719_7,Y: experimenter error,3.85,UHI,Huh,2,left,label,huh,bosa,left,label,right,left,right,A,F,,
21(bb265),032719_7,Y: experimenter error,3.85,UHI,Interrupted,3,left,interrupted,label,collit,left,interrupted,right,left,right,B,I,,
22(ba815),032719_8,Y: experimenter error,5.5,,,,,,,,,,,,,,,,
23(bb326),032719_9,N,3.73,UHI,Unknown,1,right,label,dont_know,collit,right,label,null,right,null,D,A,,
23(bb326),032719_9,N,3.73,UHI,Huh,2,left,label,huh,bosa,right,huh,null,right,null,E,F,,
23(bb326),032719_9,N,3.73,UHI,Interrupted,3,left,interrupted,label,stigson,right,label,null,right,null,B,I,,
27(ba885),032819_1,Y: experimenter error,5.19,UHI,Unknown,1,left,label,dont_know,bosa,left,label,right,left,right,F,E,,
27(ba885),032819_1,Y: experimenter error,5.19,UHI,Huh,2,left,huh,label,stigson,left,huh,right,left,right,B,D,,
27(ba885),032819_1,Y: experimenter error,5.19,UHI,Interrupted,3,left,interrupted,label,modi,left,interrupted,right,left,right,G,H,,
36(ba944),032819_10,N,4.79,HUI,Huh,1,right,label,huh,modi,right,label,left,right,left,B,F,,
36(ba944),032819_10,N,4.79,HUI,Unknown,2,right,label,dont_know,bosa,right,label,left,right,left,H,G,,
36(ba944),032819_10,N,4.79,HUI,Interrupted,3,left,interrupted,label,stigson,right,label,left,right,left,E,A,,
37(ba1004),032819_11,Y: no show,3,,,,,,,,,,,,,,,,
38(ba975),032819_12,N,4.81,UIH,Unknown,1,right,label,dont_know,bosa,right,label,left,right,left,A,I,,
38(ba975),032819_12,N,4.81,UIH,Interrupted,2,left,interrupted,label,modi,left,interrupted,right,right,left,D,F,,
38(ba975),032819_12,N,4.81,UIH,Huh,3,right,huh,label,stigson,left,label,right,left,right,H,B,,
28(ba1048),032819_2,N,5.14,HUI,Huh,1,left,huh,label,modi,right,label,left,right,left,E,F,,
28(ba1048),032819_2,N,5.14,HUI,Unknown,2,right,label,dont_know,bosa,right,label,left,right,left,G,D,,
28(ba1048),032819_2,N,5.14,HUI,Interrupted,3,left,interrupted,label,manu,right,label,left,right,left,B,H,,
29(bb220),032819_3,N,3.62,UIH,Unknown,1,right,label,dont_know,modi,right,label,left,right,left,G,H,,
29(bb220),032819_3,N,3.62,UIH,Interrupted,2,left,interrupted,label,bosa,right,label,left,right,left,B,D,,
29(bb220),032819_3,N,3.62,UIH,Huh,3,right,huh,label,stigson,right,huh,left,right,left,A,I,,
30(bb298),032819_4,N,3.79,HUI,Huh,1,left,label,huh,bosa,right,huh,left,right,left,B,D,,
30(bb298),032819_4,N,3.79,HUI,Unknown,2,right,dont_know,label,modi,right,dont_know,left,null,null,NA,NA,,
30(bb298),032819_4,N,3.79,HUI,Interrupted,3,left,interrupted,label,stigson,right,label,left,null,null,NA,NA,,
31(bb225),032819_5,N,4.22,UHI,Unknown,1,left,label,dont_know,bosa,right,dont_know,left,left,right,A,E,,
31(bb225),032819_5,N,4.22,UHI,Huh,2,right,label,huh,modi,right,label,left,right,left,D,F,,
31(bb225),032819_5,N,4.22,UHI,Interrupted,3,left,interrupted,label,stigson,right,label,left,right,left,B,G,,
32(bb278),032819_6,Y: no show,3,,,,,,,,,,,,,,,,
33(ba1170),032819_7,N,4.36,HUI,Huh,1,right,label,huh,stigson,right,label,left,right,left,H,E,,
33(ba1170),032819_7,N,4.36,HUI,Unknown,2,left,label,dont_know,bosa,left,label,right,left,right,B,A,,
33(ba1170),032819_7,N,4.36,HUI,Interrupted,3,left,interrupted,label,modi,left,interrupted,right,left,right,D,I,,
34(bb243),032819_8,N,4.03,UHI,Unknown,1,right,label,dont_know,modi,left,dont_know,right,left,right,F,E,,
34(bb243),032819_8,N,4.03,UHI,Huh,2,left,huh,label,stigson,left,huh,right,left,right,D,B,,
34(bb243),032819_8,N,4.03,UHI,Interrupted,3,left,interrupted,label,manu,left,interrupted,right,left,right,A,G,,
35(bb014),032819_9,Y: experimenter error,3.36,UHI,Unknown,1,left,label,dont_know,manu,right,dont_know,null,right,null,D,B,,
35(bb014),032819_9,Y: experimenter error,3.36,UHI,Huh,2,left,label,huh,stigson,left,label,null,left,null,F,E,,
35(bb014),032819_9,Y: experimenter error,3.36,UHI,Interrupted,3,left,interrupted,label,bosa,right,label,left,right,left,H,I,,
39(ba1015),032919_1,N,4.05,UHI,Unknown,1,left,label,dont_know,bosa,left,label,right,left,right,G,H,,
39(ba1015),032919_1,N,4.05,UHI,Huh,2,right,label,huh,regli,left,huh,right,left,right,F,A,,
39(ba1015),032919_1,N,4.05,UHI,Interrupted,3,left,interrupted,label,modi,right,label,left,right,left,B,I,,
40(bb273),032919_2,N,3.61,UIH,Unknown,1,right,label,dont_know,bosa,right,label,left,left,right,B,E,,
40(bb273),032919_2,N,3.61,UIH,Interrupted,2,left,interrupted,label,modi,right,label,left,left,right,A,H,,
40(bb273),032919_2,N,3.61,UIH,Huh,3,left,huh,label,stigson,right,label,left,left,right,D,F,,
41(ba963),032919_3,Y: experimenter error,4.87,,,,,,,,,,,,,,,,
42(bb056),032919_4,Y: experimenter error,4.21,HUI,Huh,1,left,label,huh,stigson,left,label,right,left,right,F,B,,
42(bb056),032919_4,Y: experimenter error,4.21,HUI,Unknown,2,right,label,dont_know,bosa,left,dont_know,right,left,right,D,I,,
42(bb056),032919_4,Y: experimenter error,4.21,HUI,Interrupted,3,left,interrupted,label,modi,left,interrupted,right,left,right,A,E,,
43(ba1185),032919_5,Y: kid didnt wanna play,4.51,,,,,,,,,,,,,,,,
44(bb071),032919_6,N,3.78,UHI,Unknown,1,left,label,dont_know,modi,left,label,right,left,right,H,D,,
44(bb071),032919_6,N,3.78,UHI,Huh,2,right,label,huh,stigson,left,huh,right,right,left,F,I,,
44(bb071),032919_6,N,3.78,UHI,Interrupted,3,left,interrupted,label,collit,left,interrupted,right,right,left,G,E,,
45(ba884),032919_7,Y: experimenter error,4.76,,,,,,,,,,,,,,,,
46(not in database),032919_8,N,5,UHI,Unknown,1,left,label,dont_know,manu,right,dont_know,left,right,left,H,A,,
46(not in database),032919_8,N,5,UHI,Huh,2,right,huh,label,modi,right,huh,left,right,left,I,G,,
46(not in database),032919_8,N,5,UHI,Interrupted,3,left,interrupted,label,collit,right,label,left,right,left,B,E,,
47,040519_1,Y: parent interference,,,,,,,,,,,,,,,,,
48,040519_2,Y: experimenter error,3.150684932,HUI,Huh,1,left,huh,label,collit,left,huh,right,left,right,D,G,,
48,040519_2,Y: experimenter error,3.150684932,HUI,Unknown,2,left,label,dont_know,modi,right,dont_know,left,right,left,H,F,,
48,040519_2,Y: experimenter error,3.150684932,HUI,Interrupted,3,left,interrupted,label,stigson,right,label,left,left,right,B,E,,
49,040519_3,N,3.010958904,HIU,Huh,1,right,huh,label,manu,left,label,null,left,null,G,F,,
49,040519_3,N,3.010958904,HIU,Interrupted,2,right,label,interrupted,bosa,right,label,null,right,null,B,E,,
49,040519_3,N,3.010958904,HIU,Unknown,3,left,label,dont_know,jeeter,left,label,right,left,right,I,A,,
50,040519_4,N,5.624657534,IHU,Interrupted,1,left,interrupted,label,gazzer,right,label,left,right,left,I,H,,
50,040519_4,N,5.624657534,IHU,Huh,2,left,label,huh,regli,right,huh,left,left,right,D,A,,
50,040519_4,N,5.624657534,IHU,Unknown,3,right,label,dont_know,manu,right,label,left,right,left,E,G,,
51,040719_1,N,3.389041096,HIU,Huh,1,right,huh,label,collit,right,huh,left,left,right,H,I,,
51,040719_1,N,3.389041096,HIU,Interrupted,2,left,label,interrupted,manu,right,interrupted,left,right,left,A,D,,
51,040719_1,N,3.389041096,HIU,Unknown,3,right,dont_know,label,regli,right,dont_know,left,right,left,G,E,,
52,040719_2,N,3.539726027,IHU,Interrupted,1,left,label,interrupted,gazzer,left,label,right,left,right,I,F,,
52,040719_2,N,3.539726027,IHU,Huh,2,left,huh,label,stigson,left,huh,right,left,right,A,G,,
52,040719_2,N,3.539726027,IHU,Unknown,3,right,dont_know,label,manu,right,dont_know,left,right,left,D,B,,
53,040719_3,N,4.967123288,HIU,Huh,1,right,huh,label,jeeter,right,huh,left,left,right,B,D,,
53,040719_3,N,4.967123288,HIU,Interrupted,2,left,label,interrupted,collit,right,interrupted,left,right,left,E,I,,
53,040719_3,N,4.967123288,HIU,Unknown,3,left,dont_know,label,regli,right,label,left,right,left,H,A,,
54,040719_4,N,4.21369863,IHU,Interrupted,1,left,label,interrupted,jeeter,left,label,right,left,right,A,H,,
54,040719_4,N,4.21369863,IHU,Huh,2,right,huh,label,gazzer,left,label,right,left,right,G,F,,
54,040719_4,N,4.21369863,IHU,Unknown,3,left,dont_know,label,collit,right,label,left,right,left,D,E,,
55,040719_5,Y: camera error,4,,,,,,,,,,,,,,,,
56,040719_6,N,4.068493151,IUH,Interrupted,1,left,label,interrupted,jeeter,left,label,right,right,left,F,B,,
56,040719_6,N,4.068493151,IUH,Unknown,2,left,dont_know,label,collit,left,dont_know,right,left,right,I,D,,
56,040719_6,N,4.068493151,IUH,Huh,3,right,huh,label,manu,left,label,right,right,left,H,A,,
57,041019_1,N,4.02739726,UIH,Unknown,1,right,dont_know,label,regli,right,dont_know,left,null,null,NA,NA,,
57,041019_1,N,4.02739726,UIH,Interrupted,2,left,label,interrupted,gazzer,right,interrupted,left,null,null,NA,NA,,
57,041019_1,N,4.02739726,UIH,Huh,3,right,label,huh,manu,right,label,left,null,null,NA,NA,,
58,041019_2,Y: experimenter error,5.4,HUI,Huh,1,left,label,huh,collit,right,huh,left,left,right,G,B,,
58,041019_2,Y: experimenter error,5.4,HUI,Unknown,2,left,dont_know,label,regli,right,label,left,right,left,A,H,,
58,041019_2,Y: experimenter error,5.4,HUI,Interrupted,3,left,label,interrupted,jeeter,right,interrupted,left,right,left,F,E,,
59,041419_1,Y: too young,2.975342466,,,,,,,,,,,,,,,,
60,041419_2,N,4.608219178,HIU,Huh,1,right,label,huh,regli,left,huh,right,left,right,I,E,,
60,041419_2,N,4.608219178,HIU,Interrupted,2,left,interrupted,label,manu,right,label,left,right,left,H,B,,
60,041419_2,N,4.608219178,HIU,Unknown,3,right,dont_know,label,jeeter,left,label,right,left,right,D,G,,
61,041719_1,N,5.989041096,HIU,Huh,1,right,huh,label,manu,right,huh,left,null,null,NA,NA,,
61,041719_1,N,5.989041096,HIU,Interrupted,2,left,label,interrupted,jeeter,right,interrupted,left,null,null,NA,NA,,
61,041719_1,N,5.989041096,HIU,Unknown,3,right,label,dont_know,regli,right,label,left,null,null,NA,NA,,
62,041719_2,N,4.101369863,IHU,Interrupted,1,left,interrupted,label,collit,right,label,left,right,left,B,E,,
62,041719_2,N,4.101369863,IHU,Huh,2,left,huh,label,manu,left,huh,right,left,right,G,D,,
62,041719_2,N,4.101369863,IHU,Unknown,3,right,label,dont_know,modi,right,label,left,right,left,F,I,,
63,041719_3,N,3.860273973,IUH,Interrupted,1,left,label,interrupted,modi,left,label,right,right,left,B,I,,
63,041719_3,N,3.860273973,IUH,Unknown,2,right,dont_know,label,bosa,left,label,right,right,left,F,H,,
63,041719_3,N,3.860273973,IUH,Huh,3,right,huh,label,manu,left,label,right,right,left,G,A,,
64,041719_4,N,3.802739726,IUH,Interrupted,1,left,interrupted,label,jeeter,left,interrupted,right,right,null,G,F,,
64,041719_4,N,3.802739726,IUH,Unknown,2,right,label,huh,collit,left,huh,right,left,null,A,E,,
64,041719_4,N,3.802739726,IUH,Huh,3,left,dont_know,label,bosa,right,label,null,right,null,I,H,,
65,041719_5,Y: experimenter error,4.8,IUH,Interrupted,1,left,label,interrupted,jeeter,right,interrupted,left,left,right,D,B,,
65,041719_5,Y: experimenter error,4.8,IUH,Unknown,2,right,label,dont_know,regli,right,label,left,right,left,G,F,,
65,041719_5,Y: experimenter error,4.8,IUH,Huh,3,left,label,huh,stigson,left,label,right,left,right,I,E,,
66,041719_6,Y: experimenter error,3.049315068,UIH,Unknown,1,left,dont_know,label,collit,right,label,left,left,right,B,E,,
66,041719_6,Y: experimenter error,3.049315068,UIH,Interrupted,2,left,label,interrupted,gazzer,right,interrupted,left,right,left,F,H,,
66,041719_6,Y: experimenter error,3.049315068,UIH,Huh,3,left,label,huh,jeeter,left,label,,,,,,,
67,041719_7,N,5.347945205,IUH,Interrupted,1,left,label,interrupted,modi,left,label,right,right,left,I,G,,
67,041719_7,N,5.347945205,IUH,Unknown,2,right,dont_know,label,regli,right,dont_know,left,right,left,B,A,,
67,041719_7,N,5.347945205,IUH,Huh,3,left,huh,label,stigson,left,huh,right,together,together,F,H,,
68,041719_8,Y: experimenter error,4.810958904,UIH,Unknown,1,left,dont_know,label,collit,right,label,left,right,left,A,H,,
68,041719_8,Y: experimenter error,4.810958904,UIH,Interrupted,2,left,interrupted,label,manu,right,label,left,right,left,B,I,,
68,041719_8,Y: experimenter error,4.810958904,UIH,Huh,3,left,huh,label,gazzer,right,label,left,right,left,G,F,,
69,041919_1,N,4.668493151,HIU,Huh,1,right,huh,label,gazzer,left,label,right,null,null,NA,NA,,
69,041919_1,N,4.668493151,HIU,Interrupted,2,left,label,label,manu,left,label,right,null,null,NA,NA,,
69,041919_1,N,4.668493151,HIU,Unknown,3,right,label,dont_know,collit,left,dont_know,right,null,null,NA,NA,,
70,041919_2,N,4.668493151,IHU,Interrupted,1,left,label,interrupted,regli,right,interrupted,null,right,null,NA,A,,
70,041919_2,N,4.668493151,IHU,Huh,2,right,label,huh,gazzer,right,label,null,right,null,NA,F,,
70,041919_2,N,4.668493151,IHU,Unknown,3,right,dont_know,label,jeeter,right,dont_know,null,right,null,NA,E,,
71,041919_3,N,4.8,IUH,Interrupted,1,right,label,interrupted,jeeter,right,label,left,left,right,H,I,,
71,041919_3,N,4.8,IUH,Unknown,2,right,dont_know,label,regli,right,dont_know,left,right,left,D,B,,
71,041919_3,N,4.8,IUH,Huh,3,left,label,huh,gazzer,right,huh,right,left,left,G,F,,
72,041919_4,N,3.950684932,HUI,Huh,1,right,huh,label,regli,left,label,right,left,right,I,G,,
72,041919_4,N,3.950684932,HUI,Unknown,2,left,label,dont_know,jeeter,right,dont_know,left,left,right,D,B,,
72,041919_4,N,3.950684932,HUI,Interrupted,3,right,label,interrupted,gazzer,right,label,left,right,left,E,F,,
73,041919_5,N,3.810958904,IHU,Interrupted,1,left,interrupted,label,manu,left,interrupted,right,left,right,H,D,,
73,041919_5,N,3.810958904,IHU,Huh,2,right,label,huh,regli,left,huh,right,right,left,A,I,,
73,041919_5,N,3.810958904,IHU,Unknown,3,left,label,dont_know,gazzer,left,label,right,left,right,E,F,,
74,041919_6,N,5.35890411,HUI,Huh,1,right,huh,label,stigson,right,huh,left,right,left,B,H,,
74,041919_6,N,5.35890411,HUI,Unknown,2,left,dont_know,label,modi,right,label,right,left,left,D,F,,
74,041919_6,N,5.35890411,HUI,Interrupted,3,left,label,interrupted,gazzer,left,label,right,left,right,A,E,,
75,041919_7,Y: camera went to sleep 10s before it ends,,,,,,,,,,,,,,,,,
76,042419_1,N,5.095890411,HIU,Huh,1,right,label,huh,jeeter,left,huh,right,null,null,NA,NA,,
76,042419_1,N,5.095890411,HIU,Interrupted,2,left,label,interrupted,gazzer,right,interrupted,left,left,right,B,H,,
76,042419_1,N,5.095890411,HIU,Unknown,3,right,dont_know,label,collit,right,dont_know,left,null,null,NA,NA,,
77,042419_2,N,3.649315068,IUH,Interrupted,1,left,label,interrupted,regli,left,label,right,left,right,F,E,,
77,042419_2,N,3.649315068,IUH,Unknown,2,right,label,dont_know,gazzer,left,dont_know,right,left,right,D,G,,
77,042419_2,N,3.649315068,IUH,Huh,3,right,huh,label,collit,left,label,right,left,right,A,I,,
78,042419_3,N,5.794520548,IHU,Interrupted,1,right,label,interrupted,jeeter,right,label,left,right,left,B,H,,
78,042419_3,N,5.794520548,IHU,Huh,2,left,huh,label,bosa,right,label,left,right,left,A,F,,
78,042419_3,N,5.794520548,IHU,Unknown,3,left,dont_know,label,stigson,right,label,left,right,left,G,I,,
79,042419_4,N,3.512328767,UIH,Unknown,1,left,dont_know,label,gazzer,right,label,left,left,right,A,G,,
